Subject,trial,Training,easy_trial,RT_Easy,APA_Easy,medium_trial,RT_medium,APA_medium,diff_trial,RT_diff,APA_diff
6,17,ipad,2L,0.38,0.79,4R,0.63,0.57,5R,0.78,0.03
6,18,ipad,1R,0.23,0.51,4L,0.43,0.41,5L,0.54,0.43
6,19,ipad,2R,0.32,0.42,3L,0.51,0.65,6R,0.34,0.7
6,20,ipad,1L,0.16,0.49,3R,0.43,0.73,6L,0.29,0.54
8,1,ipad,2R,0.44,0.34,3L,0.64,0.22,6R,0.51,0.43
8,2,ipad,1R,0.62,0.81,4L,0.46,0.42,5L,0.32,0.62
8,3,ipad,2L,0.73,0.5,4R,0.57,0.47,5R,0.35,0.46
8,4,ipad,1R,0.15,0.51,3R,0.79,0.37,6L,0.31,0.67
8,5,ipad,1L,0.15,0.63,4R,0.53,0.49,6R,0.62,0.43
8,6,ipad,2R,0.2,0.66,3R,0.13,0.62,6L,1.25,-0.38
8,7,ipad,2L,0.37,0.42,4R,0.44,0.64,5R,0.78,0.33
8,8,ipad,1R,0.16,0.42,4L,0.59,1.28,5L,0.37,0.52
8,9,ipad,2R,0.24,0.55,3L,0.11,0.6,6R,0.56,0.49
8,10,ipad,1L,0.17,0.54,4L,0.45,0.53,5R,0.45,0.44
8,11,ipad,2L,0.14,0.52,3L,0.2,0.62,6R,0.49,0.52
8,12,ipad,1L,0.11,0.56,4L,0.36,0.48,5L,0.53,0.4
8,13,ipad,2L,0.14,0.5,4R,0.12,0.54,5R,0.4,0.44
8,14,ipad,1R,0.13,0.45,3R,0,0.48,6L,0.42,0.42
8,15,ipad,2R,0.19,0.51,3L,0.31,0.46,5L,0.48,0.44
8,16,ipad,1L,0.27,0.41,3R,0.38,0.58,6L,0.57,0.58
8,17,ipad,2L,0.11,0.44,4R,0.09,0.71,5R,0.47,0.41
8,18,ipad,1R,0.2,0.43,4L,0.29,0.35,5L,0.37,0.66
8,19,ipad,2R,0.19,0.44,3L,0.14,0.47,6R,0.4,0.58
8,20,ipad,1L,0.3,0.52,3R,0.07,0.58,6L,0.39,0.38
2,1,no training,2R,0.07,0.57,3L,0.21,0.62,6R,0.34,0.99
2,2,no training,1R,0.33,0.35,4L,0.35,0.5,5L,0.93,0.84
2,3,no training,2L,0.08,0.41,4R,0.03,0.45,5R,2,1.1
2,4,no training,1R,0.26,0.27,3R,0.01,0.44,6L,1.01,1.12
2,5,no training,1L,0.11,0.44,4R,0.2,1.3,6R,0,0.38
2,6,no training,2R,0.34,0.41,3R,0,0.3,6L,0.01,0.47
2,7,no training,2L,0.03,0.62,4R,0.03,0.46,5R,0.85,1.31
2,8,no training,1R,0,0.23,4L,0,0.39,5L,0.01,0.38
2,9,no training,2R,0.17,1.61,3L,0,0.4,6R,0.06,0.22
2,10,no training,1L,0.13,0.34,4L,0,0.41,5R,0,0.56
2,11,no training,2L,0.07,0.55,3L,0.05,0.46,6R,0.01,0.38
2,12,no training,1L,0.25,0.37,4L,0.06,0.43,5L,0.25,1.81
2,13,no training,2L,0.03,0.43,4R,0.2,0.19,5R,0.18,0.6
2,14,no training,1R,0.39,0.19,3R,0,0.38,6L,0,0.25
2,15,no training,2R,0.05,0.58,3L,0,0.33,5L,0,0.35
2,16,no training,1L,0.12,0.33,3R,0.04,0.37,6L,0,0.35
2,17,no training,2L,0.09,0.47,4R,0.14,0.3,5R,0.01,0.43
2,18,no training,1R,0.2,0.28,4L,0,0.34,5L,0.01,0.34
2,19,no training,2R,0.07,0.69,3L,0.23,0.55,6R,0.02,0.27
2,20,no training,1L,0.12,0.34,3R,0,0.3,6L,0,0.26
7,1,no training,2R,0.7,0.33,3L,0.09,0.55,6R,0.46,0.65
7,2,no training,1R,1.05,1.37,4L,0.28,1.59,5L,0.13,0.47
7,3,no training,2L,0.59,0.92,4R,0.21,1.04,5R,0.08,0.49
7,4,no training,1R,0.53,0.5,3R,0.16,0.49,6L,0.12,0.51
7,5,no training,1L,0.36,0.56,4R,0.52,0.5,6R,0.14,0.58
7,6,no training,2R,0.2,0.5,3R,0.21,1.5,6L,0.16,0.56
7,7,no training,2L,0.29,0.52,4R,0.28,0.89,5R,0.37,0.38
7,8,no training,1R,0.34,0.47,4L,0.11,0.57,5L,0.01,0.54
7,9,no training,2R,0.26,0.52,3L,0.33,0.63,6R,0.31,0.44
7,10,no training,1L,0.3,0.46,4L,0.04,1.14,5R,0.12,0.51
7,11,no training,2L,0.12,0.49,3L,0.5,0.61,6R,0.24,0.62
7,12,no training,1L,0.32,0.39,4L,0.04,0.76,5L,0.22,0.44
7,13,no training,2L,0.08,0.52,4R,0.12,0.9,5R,0.08,0.52
7,14,no training,1R,0.1,0.65,3R,0.43,0.5,6L,0.27,0.56
7,15,no training,2R,0.26,0.59,3L,0.09,0.49,5L,0.1,0.58
7,16,no training,1L,0.14,0.5,3R,0.21,0.46,6L,0.27,0.56
