Subject,RT_Easy,APA_Easy,RT_medium,APA_medium,RT_diff,APA_diff,NMT_easy,NMT_medium,NMT_difficult,Training
6,0.38,0.54,0.41,0.78,0.72,0.5,0.7074,0.720633333,0.611616667,ipad
6,0.18,0.57,0.44,0.22,0.37,0.53,0.7519,0.66705,0.64072,ipad
6,0.4,0.48,0.67,0.42,0.43,0.53,0.7646,0.7126,0.62435,ipad
6,0.25,0.53,0.57,0.61,0.44,0.59,0.6303,0.641175,0.5955,ipad
6,0.2,0.46,0.52,0.72,0.57,0.58,0.66925,0.673675,0.62552,ipad
6,0.29,0.47,0.57,0.54,0.6,0.56,0.7001,0.664333333,0.600033333,ipad
6,0.37,0.75,0.38,0.66,0.29,0.86,0.70175,0.688733333,0.62048,ipad
6,0.37,0.46,0.58,0.46,0.45,0.47,0.6448,0.705733333,0.6141,ipad
6,0.38,0.79,0.63,0.57,0.78,0.03,0.61525,0.64795,0.6044,ipad
6,0.23,0.51,0.43,0.41,0.54,0.43,0.6657,0.64865,0.6054,ipad
6,0.32,0.42,0.51,0.65,0.34,0.7,0.7001,0.687766667,0.586966667,ipad
6,0.16,0.49,0.43,0.73,0.29,0.54,0.6662,0.65065,0.604233333,ipad
8,0.44,0.34,0.64,0.22,0.51,0.43,0.6396,0.6963,0.588783333,ipad
8,0.62,0.81,0.46,0.42,0.32,0.62,0.7388,0.67715,0.61332,ipad
8,0.73,0.5,0.57,0.47,0.35,0.46,0.73025,0.640675,0.59938,ipad
8,0.15,0.51,0.79,0.37,0.31,0.67,0.7642,0.6556,0.603266667,ipad
8,0.15,0.63,0.53,0.49,0.62,0.43,0.704,0.65545,0.613066667,ipad
8,0.2,0.66,0.13,0.62,1.25,-0.38,0.7257,0.677866667,0.62765,ipad
8,0.37,0.42,0.44,0.64,0.78,0.33,0.6827,0.64045,0.63602,ipad
8,0.16,0.42,0.59,1.28,0.37,0.52,0.6715,0.6492,0.63378,ipad
8,0.24,0.55,0.11,0.6,0.56,0.49,0.66705,0.6783,0.6104,ipad
8,0.17,0.54,0.45,0.53,0.45,0.44,0.66945,0.654675,0.61188,ipad
8,0.14,0.52,0.2,0.62,0.49,0.52,0.65065,0.644033333,0.608733333,ipad
8,0.11,0.56,0.36,0.48,0.53,0.4,0.7012,0.7331,0.6453,ipad
8,0.14,0.5,0.12,0.54,0.4,0.44,0.68915,0.63335,0.6271,ipad
8,0.13,0.45,0,0.48,0.42,0.42,0.733,0.643466667,0.632916667,ipad
8,0.19,0.51,0.31,0.46,0.48,0.44,0.6994,0.655766667,0.62618,ipad
8,0.27,0.41,0.38,0.58,0.57,0.58,0.7335,0.666666667,0.62945,ipad
8,0.11,0.44,0.09,0.71,0.47,0.41,0.67185,0.6636,0.63302,ipad
8,0.2,0.43,0.29,0.35,0.37,0.66,0.7325,0.6494,0.64094,ipad
8,0.19,0.44,0.14,0.47,0.4,0.58,0.7106,0.644266667,0.605,ipad
8,0.3,0.52,0.07,0.58,0.39,0.38,0.7353,0.689933333,0.641366667,ipad
10,0.32,0.49,0.27,0.43,0.26,0.315,0.6677,0.660766667,0.661666667,Walking
10,0.22,0.5,0.19,0.82,0.31,0.32,0.6688,0.6675,0.67694,Walking
10,0.56,0.42,0.37,0.42,0.41,0.26,0.68475,0.66525,0.66,Walking
10,0.39,0.27,0.67,0.28,0.72,0.145,0.7316,0.7,0.699033333,Walking
10,0.34,0.39,0.3,0.8,0.47,0.29,0.6699,0.680125,0.635,Walking
10,0.52,0.26,0.32,0.45,0.42,0.22,0.6693,0.665933333,0.657516667,Walking
10,0.3,0.56,0.42,0.42,0.13,0.455,0.66595,0.682925,0.62354,Walking
10,0.58,0.57,0.16,0.76,0.3,0.23,0.667,0.636825,0.62296,Walking
10,0.26,0.47,0.54,0.57,0.64,0.345,0.70155,0.652266667,0.57785,Walking
10,0.2,0.36,0.4,0.57,0.19,0.295,0.66735,0.6417,0.732,Walking
10,0.35,0.46,0.21,0.61,0.41,0.27,0.6814,0.655466667,0.58365,Walking
10,0.55,0.18,0.46,0.53,0.32,0.255,0.6682,0.643425,0.6606,Walking
10,0.19,0.42,0.43,0.41,0.78,0.16,0.6678,0.651275,0.666,Walking
10,0.06,0.45,0.34,0.37,0.42,0.255,0.7046,0.6695,0.682916667,Walking
10,0.11,0.79,0.27,0.65,0.35,0.265,0.66245,0.6772,0.63254,Walking
